PSRJ,omgc_dot,omgc_0,logq_taueff,logq_tau,logq_ratio,logq_TN,logq_Qs,logq_Qc,log_tau-dist,log_ratio-dist,log_evidence_WTNnullHypothesis,log_evidence_2Cmpnt,log_Qs-dist,log_Qc-dist,Tobs,TSTART,TFINISH,NTOAs,logBF_2Cmpnt_vs_WTNnullHypothesis,logBF_per_TOA_2Cmpnt_vs_WTNnullHypothesis
J1123-6259,-4.4791610119643536e-13,23.147842350952516,"[5.241037884351401, 2.6174302836164225, 7.791638353589785]","[5.50761826932846, 3.143017800459076, 7.805278288163606]","[-0.30796509145812895, -2.964205982758384, 2.6927588788007784]","[-4.661878866483978, -6.913056253865189, -3.58001099160855]","[-24.885175522995407, -28.177407589621655, -21.434204138079878]","[-25.480169603812197, -28.452523558582843, -23.487566453522533]",-,-,109.69198617437284,109.08880795945477,-,-,1066.968141363017,57334.046958382656,58401.01509974567,70,-0.6031782149180742,-0.008616831641686775
J1126-6942,-6.160965190027785e-14,10.843945665117914,"[5.388121215116346, 2.6521555456496237, 8.049220509247364]","[5.5631264688739614, 3.122285238855547, 7.93620662273837]","[-0.2580716670175344, -2.9579789110876447, 2.6966887108439823]","[-4.34742792300298, -6.519927246863896, -3.3590474300581414]","[-24.755602302042497, -28.186566838457807, -21.107624520009534]","[-25.353232020112994, -28.46768728885012, -23.596132915298835]",-,-,74.76701532462599,75.39927136025246,-,pky,733.7966764797675,57549.53786100577,58283.334537485534,34,0.6322560356264688,0.01859576575371967
J1133-6250,-2.875124745486458e-15,6.14266836284628,"[4.940179408156908, 2.324516235942858, 7.88074356130364]","[5.080998298370616, 2.9957196293148205, 7.964028036321588]","[-0.6896896901383871, -3.0807991826339634, 2.6656006593288297]","[-4.617244449148602, -7.357369268927891, -2.6872962031709124]","[-24.84656798721601, -28.296443394811533, -20.704364243885596]","[-25.503454152440405, -28.4984179816381, -22.45893254024189]",-,-,135.98839223622107,135.0923170626229,-,-,435.8122263016485,57989.14625377537,58424.95848007702,128,-0.8960751735981773,-0.0070005872937357605
J1136+1551,-1.6605175198322783e-14,5.2892480855459985,"[4.931576667432036, 2.4441644437665677, 7.469529517213463]","[5.1854393688825615, 3.0530151153468355, 7.673527618588609]","[-0.4139826022224652, -3.0307807178682777, 2.641977751509112]","[-3.6359972977570685, -3.9477339057227696, -3.318893817990052]","[-25.403326521637293, -28.23374041139594, -22.246780045946068]","[-25.322594683825702, -26.81038834013876, -24.039503060990526]",-,-,138.8135050014438,156.50960344986086,pky,pky,1291.4634770092962,57134.48475168585,58425.948228695146,36,17.696098448417075,0.49155829023380765
J1136-5525,-3.8813756107521795e-13,17.22775538804026,"[7.753153634877241, 4.941625595748395, 9.245248475967276]","[6.995523208738736, 4.86795435357822, 8.178918214641351]","[0.7000292535094698, -2.3498017372084843, 2.8785562523087775]","[-2.1856353629719756, -2.5940723169918662, -0.6636948506434658]","[-22.228030349160537, -23.32142410066273, -18.598856009243885]","[-25.52278930915084, -28.534590214046, -23.233412296403195]",pky,-,245.1580597723674,468.1975296482558,pky,pky,1258.5377042809414,57163.42035499452,58421.958059275465,147,223.0394698758884,1.5172753052781522
J1141-3322,-3.441537702410744e-14,21.55704863526706,"[5.08040606648071, 2.586297185940742, 7.9322766367420465]","[5.257581168314619, 3.017550149274028, 7.919656219012386]","[-0.7449808935296683, -3.112639503391274, 2.5996399809995636]","[-7.113293472428111, -8.538772237823569, -5.816897510961991]","[-26.897802946262345, -28.948046777543304, -23.578085451639712]","[-27.571897575318914, -29.18109842734445, -25.620566997166762]",-,-,157.2018376300927,155.6952615144708,-,-,1114.9290760210788,57312.020873012065,58426.949949033144,51,-1.5065761156219253,-0.029540708149449514
J1141-6545,-1.7440453625662648e-13,15.951229078757596,"[6.537419635815674, 5.177424592824534, 7.670913874194084]","[6.166854609718021, 5.61521883350808, 7.281529497124521]","[1.3774086430592496, -0.36809378239646273, 3.1078125876074467]","[-4.073794007028377, -4.849061912265091, -3.726444864599194]","[-24.804758789560232, -27.408132762446478, -24.166218248987747]","[-25.242467828918247, -28.1788891233066, -24.49680561131308]",pky,rr,810.5486439760506,1006.8130137798275,pky,pky,1264.5670395340712,57160.38800330301,58424.95504283708,273,196.26436980377696,0.7189171055083405
J1146-6030,-1.503555709321831e-13,22.9838058350383,"[5.263116886703507, 2.7783944262259617, 7.923291059863578]","[5.269222547441468, 3.050664734325488, 7.980956699569016]","[-0.6675073843408407, -3.064068450534985, 2.4361414745301113]","[-5.740072736677693, -6.373712192760894, -5.131386689652711]","[-25.83685264153113, -28.09838061101756, -22.295348078626684]","[-26.348761811490878, -28.43058901493192, -25.304002287038266]",-,-,637.4973078537971,639.0049095768042,pky,pky,1194.593088219357,57228.3671637726,58422.96025199196,169,1.507601723007042,0.008920720254479538
J1157-6224,-1.5396774667125865e-13,15.68735136656172,"[4.997439594389856, 2.7040836013323903, 7.373016002797572]","[5.010057951775026, 2.9889394838892285, 7.798084748210732]","[-1.135127559006234, -3.1214031438564183, 1.8580721671939155]","[-3.519435082712807, -3.735033335231897, -3.304685802914389]","[-24.296764966349564, -27.75313220399725, -20.97332493093357]","[-24.295049507164798, -26.297358039989657, -23.891640905699926]",-,-,724.8553457594013,943.6145021730429,pky,pky,1264.5508575358908,57160.411130760214,58424.961988296105,229,218.75915641364156,0.9552801590115352
J1202-5820,-6.52461901419e-14,13.876200118263204,"[5.278847763417109, 2.7292318575291006, 7.72411911344893]","[5.209515516254489, 3.007228434100283, 7.743833481194014]","[-0.9691315700801948, -3.1165839159865603, 2.1626357805472614]","[-3.655478341934181, -3.877751382868012, -3.3823888978346446]","[-24.347641686083108, -27.42347165044492, -20.587524001028935]","[-24.630778489412652, -27.499408248907088, -24.197399132199305]",-,-,406.91880019465424,541.7854783338929,pky,pky,1251.4761485206836,57173.490830802584,58424.96697932327,134,134.86667813923867,1.0064677473077512
J1210-5559,-5.822637639726022e-14,22.45856873340629,"[5.020922579718319, 2.721505866226654, 7.462485192540496]","[5.282552134395764, 3.0631985800194688, 7.623206198697577]","[-0.4497782624874042, -3.077946096878019, 2.6121916244280947]","[-5.946222950902484, -6.33966575745794, -5.609910535905543]","[-26.316335409278405, -28.57797595908275, -23.0178903195476]","[-26.337963107886072, -27.763285754169956, -25.478098252441708]",-,-,824.0747663363225,850.0632547544951,pky,pky,1251.506023628579,57173.46730614942,58424.973329778,158,25.988488418172665,0.16448410391248522
J1224-6407,-6.641338579086829e-13,29.024236918137774,"[6.431332681478718, 3.2347819856423845, 8.166214444450144]","[6.318153118763162, 3.3443875380522825, 7.928208885743843]","[-1.2543172086124066, -3.1612831325417003, 1.9528824942653327]","[-4.532310249126709, -4.731926125991333, -3.7210617014628586]","[-23.690267834826322, -26.433963195195943, -19.595603575254643]","[-25.1519668149778, -28.221702846444966, -24.71039688388228]",rr,-,1325.6975355499017,1750.0699579056238,pky,pky,1264.5467705415358,57160.43836288132,58424.98513342286,367,424.37242235572216,1.1563281263098697
J1231-6303,-4.3797140941681095e-16,4.649952712952407,"[5.3694810125171415, 2.611301768662913, 8.023945079034771]","[5.6252776344080875, 3.1644500387059735, 7.975964475394958]","[-0.21633138083348646, -2.9583963267798215, 2.7110572629484064]","[-3.1395846853181695, -5.691922761511174, -1.839523007199262]","[-25.121652371797357, -28.353573121921904, -21.60021302347067]","[-25.579588973907583, -28.515166641891604, -23.3700146555473]",-,-,69.96917791034245,69.1123519194078,-,-,1204.7828197817726,57221.216873095436,58425.99969287721,79,-0.8568259909346523,-0.010845898619425979
